,cert,name_x,city_x,state_x,zip_x,cb_x,inst.webaddr_x,NTRCDSM_x,NTRTMMED_x,Quarter_Date_x,IDcd3less_x,IDcd3t12s_x,IDcd1t3s_x,NTRTMLGJ_x,name_y,city_y,state_y,zip_y,cb_y,inst.webaddr_y,NTRCDSM_y,NTRTMMED_y,Quarter_Date_y,IDcd3less_y,IDcd3t12s_y,IDcd1t3s_y,NTRTMLGJ_y
1465,501,FARMERS AND MERCHANTS STATE BANK,Plankinton,SD,57368,1,http://www.fmsbonline.com,24026.0,14074.0,2020-06-30,9276.0,13700.0,9552.0,2304.0,FARMERS AND MERCHANTS STATE BANK,Plankinton,SD,57368,1,http://www.fmsbonline.com,23904.0,13897.0,2020-03-30,11672.0,12604.0,9776.0,3232.0
1466,15610,FARMERS AND MERCHANTS STATE BANK,Winterset,IA,50273,1,http://www.fmsbiowa.com or http://www.fmstate.bank,24152.0,9146.0,2020-06-30,2596.0,11871.0,14331.0,12569.0,FARMERS AND MERCHANTS STATE BANK,Winterset,IA,50273,1,http://www.fmsbiowa.com or http://www.fmstate.bank,24407.0,9379.0,2020-03-30,2242.0,8830.0,17967.0,9864.0
1467,21728,FARMERS AND MERCHANTS STATE BANK,Langdon,ND,58249,1,http://www.fmbanklangdon.com,10153.0,10920.0,2020-06-30,2526.0,16459.0,2088.0,6118.0,FARMERS AND MERCHANTS STATE BANK,Langdon,ND,58249,1,http://www.fmbanklangdon.com,10330.0,10882.0,2020-03-30,3412.0,15785.0,2014.0,6100.0
1468,10571,FARMERS AND MERCHANTS STATE BANK OF ALPHA,Alpha,MN,56111,1,famstatebankofalpha.com,12247.0,5186.0,2020-06-30,3403.0,7741.0,4686.0,2976.0,FARMERS AND MERCHANTS STATE BANK OF ALPHA,Alpha,MN,56111,1,famstatebankofalpha.com,12670.0,5505.0,2020-03-30,2071.0,7059.0,7013.0,2977.0
1469,8845,FARMERS AND MERCHANTS STATE BANK OF APPLETON,Appleton,MN,56208,1,www.farmers-merchants.com,4358.0,2543.0,2020-06-30,1532.0,4213.0,1156.0,850.0,FARMERS AND MERCHANTS STATE BANK OF APPLETON,Appleton,MN,56208,1,www.farmers-merchants.com,6518.0,2539.0,2020-03-30,3385.0,4575.0,1097.0,850.0
1470,1599,FARMERS AND MERCHANTS STATE BANK OF BLOOMING PRAIRIE,Blooming Prairie,MN,55917,1,http://www.fmbankmn.com,7324.0,1895.0,2020-06-30,1051.0,4840.0,2603.0,1992.0,FARMERS AND MERCHANTS STATE BANK OF BLOOMING PRAIRIE,Blooming Prairie,MN,55917,1,http://www.fmbankmn.com,7553.0,2538.0,2020-03-30,1985.0,3502.0,3289.0,1731.0
1471,11324,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,Bushnell,IL,61422,1,www.bushnellbank.com,5803.0,2357.0,2020-06-30,1295.0,3078.0,2165.0,368.0,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,Bushnell,IL,61422,1,www.bushnellbank.com,5826.0,2361.0,2020-03-30,1380.0,3068.0,1975.0,367.0
1472,10165,FARMERS AND MERCHANTS STATE BANK OF PIERZ,Pierz,MN,56364,1,www.fmpierz.com,29744.0,12765.0,2020-06-30,6445.0,20996.0,12103.0,7535.0,FARMERS AND MERCHANTS STATE BANK OF PIERZ,Pierz,MN,56364,1,www.fmpierz.com,30476.0,12619.0,2020-03-30,7188.0,19938.0,13562.0,7432.0
1473,13382,FARMERS AND MERCHANTS STATE BANK OF SPRINGFIELD,Springfield,MN,56087,1,https://www.fmb-ebank.com,14877.0,7361.0,2020-06-30,5224.0,12566.0,3663.0,3662.0,FARMERS AND MERCHANTS STATE BANK OF SPRINGFIELD,Springfield,MN,56087,1,https://www.fmb-ebank.com,14645.0,7998.0,2020-03-30,3702.0,13377.0,4782.0,5265.0
1474,13662,"FARMERS AND MERCHANTS STATE BANK, BLOOMFIELD, NEBRASKA",Bloomfield,NE,68718,1,www.fandmstatebank.com,8243.0,5150.0,2020-06-30,2381.0,8541.0,2447.0,316.0,"FARMERS AND MERCHANTS STATE BANK, BLOOMFIELD, NEBRASKA",Bloomfield,NE,68718,1,www.fandmstatebank.com,8315.0,5148.0,2020-03-30,2142.0,7534.0,3769.0,316.0
1475,8405,FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,Chambersburg,PA,17201,1,fmtrust.bank,48695.0,22004.0,2020-06-30,12533.0,41350.0,12722.0,10080.0,FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,Chambersburg,PA,17201,1,fmtrust.bank,52541.0,21733.0,2020-03-30,13643.0,35209.0,20899.0,10387.0
1476,14445,FARMERS AND MERCHANTS UNION BANK,Columbus,WI,53925,1,WWW.FMUB.COM,34438.0,101014.0,2020-06-30,29764.0,51681.0,48698.0,23140.0,FARMERS AND MERCHANTS UNION BANK,Columbus,WI,53925,1,WWW.FMUB.COM,34248.0,114589.0,2020-03-30,28979.0,60186.0,54120.0,18007.0
